Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,38.4368
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,37.8153
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,8.5979
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,7.7278
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,6.8577
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,5.9875
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,5.1174
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,4.2473
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,3.3772
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,2.5071
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,1.637
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,0.7668
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,36.9454
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3482
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.5118
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,36.0132
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0234
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,34.6461
03:52:00,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:00,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,33.5276
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.1568
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0098
03:52:00,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2916
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,31.7876
03:52:00,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,30.0477
03:52:00,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:00,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0073
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,28.6184
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,26.9406
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1135
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1231
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.6408
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.302
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4588
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2534
